KIMBER,Bimbo,Cemex,Inbursa,Alfa,ICA,Elektra
27.47001,22.26,55.58991,9.99,17.76,3.15,63
27.47001,22.14,55.77984,9.86,18.19,3.054,61
27.44001,22.19,55.31994,9.7,18.06,3.054,61
27.39,22.12,55.49992,9.5,17.87,2.97,59.4
27.24,21.95,54.66017,9.37,17.41,2.82,56.4
27.09,21.95,54.0999,9.35,16.9,2.694,53.8
26.60001,21.78,55.03007,9.35,17.2,2.67,53.4
26.52999,21.72,56.26007,9.59,18,2.7,54
26.40999,21.1,56.69011,9.7,18.07,2.754,55
26.19999,20.68,56.21984,9.27,17.67,2.772,55.4
25.80999,20.45,55.73009,9.15,16.83,2.772,55.4
25.62,20.52,54.89985,9,16.55,2.724,54.4
25.23,19.75,53.12992,8.61,16.15,2.652,53
25.53999,19.74,52.90019,8.77,16.39,2.64,52.8
25.25001,19.5,51.64986,8.56,15.61,2.4,48
25.70001,20.92,53.04988,8.75,16.21,2.412,48.2
26.67,22.29,52.70983,9.05,16.94,2.55,51
27.03,22.09,51.44003,8.79,16.6,2.502,50
27.99999,22,50.13995,8.69,16.4,2.484,49.6
27.75,21.7,51.09997,8.62,17.38,2.532,50.6
27.72999,21.36,51.18001,8.5,17.79,2.46,49.2
27.45999,21.4,52.21013,8.72,17.97,2.49,49.8
26.97,20.99,53.21991,8.72,17.72,2.49,49.8
27.09999,20.41,52.5199,8.59,18.07,2.454,49
27.20001,20.15,51.35999,8.5,18.43,2.4,48
26.7,19.95,51.47983,8.3,18.9,2.472,49.4
27,19.9,51.26005,8.4,19.48,2.472,49.4
26.49999,19,49.6502,8.2,19.06,2.52,50.4
26.30001,18.91,48.9199,8.29,18.38,2.424,48.4
26.52,19.24,49.93012,9.25,18.46,2.424,48.4
26.46999,19.49,49.74018,9.31,18.99,2.412,48.2
25.58001,19.38,48.90995,9.09,18.94,2.25,45
24.96,19.8,47.52983,8.73,18.1,2.154,43
24.39,19.05,46.29983,8.5,17.17,2.022,40.4
24,19,47.12012,8.36,18.25,2.25,45
23.91999,18.41,47.20015,8.05,17.98,2.064,41.2
23.91999,18.3,47.02018,8.58,17.95,2.052,41
23.76,18.2,50.04001,8.61,18.49,2.01,40.2
23.75001,18.2,48.31983,8.61,17.9,2.004,40
23.52999,17.89,47.6899,8.61,18.1,1.944,38.8
23.01,16.96,45.49988,8.5,16.75,1.86,37.2
22.86,16.59,44.50005,8.45,15.83,1.8,36
22.55001,16.4,43.99992,8.25,15.59,1.692,33.8
22.94001,16.96,45.65001,8.51,16.3,1.662,33.2
23.00001,16.77,47.06993,8.61,16.21,1.71,34.2
23.10999,16.6,47.07988,9,16.74,1.8,36
23.49,16.38,46.82982,8.85,16.9,1.704,34
23.81001,16.67,46.44996,8.7,16.78,1.674,33.4
23.70999,16.25,46.42011,8.51,16.86,1.602,32
24,16.99,46.44996,8.79,17.46,1.65,33
24.00999,17,46.59013,8.79,17.51,1.674,33.4
24.11001,17,48.28003,8.67,17.78,1.722,34.4
24.20001,17.5,47.82013,8.72,17.34,1.842,36.8
24.45,17.87,47.81018,8.6,17.26,1.704,34
24.3,18.29,47.81018,9.12,17.4,1.68,33.6
24.39999,18.02,47.80023,9.21,17.52,1.674,33.4
24,17.9,46.80992,9,17.14,1.692,33.8
24,18,47.40004,9.2,17.83,1.68,33.6
23.88999,17.4,46.70002,9,17.21,1.662,33.2
23.73,17.45,46.39977,9,17.35,1.65,33
23.75001,17.39,46.70002,9.18,17.29,1.65,33
23.79999,17.19,47.20015,9.55,17.4,1.614,32.2
23.99001,17.18,46.85015,9.4,17.3,1.602,32
23.79999,16.81,46.25008,9.32,16.9,1.464,29.2
24,17.25,46.31021,9.35,16.64,1.44,28.8
23.79999,17.19,45.38999,9.15,16.21,1.404,28
24.00999,17.15,45.06984,9.11,16.6,1.422,28.4
24,17.15,44.94004,9.17,16.86,1.38,27.6
24.45,16.9,46.00001,9.15,16.89,1.272,25.4
24.81,17.15,45.76985,9.1,17.37,1.29,25.8
24.93999,16.56,45.38004,9,17.14,1.254,25
24.80001,16.49,44.53985,8.91,17.06,1.26,25.2
24.80001,16.49,44.53985,8.905,17.06,1.26,25.2
24.99999,16.47,44.22013,8.9,16.14,1.224,24.4
24.75,16.35,44.00987,8.46,15.58,1.2,24
23.73,15.53,42.48001,7.9,14.28,1.134,22.6
23.88999,15.38,42.50999,7.99,14.72,1.02,20.4
23.64999,15.32,41.91001,7.88,14.57,0.906,18
23.55,15.04,41.10002,8.01,14.79,0.93,18.6
22.8,15,41.08998,8.4,15.57,1.062,21.2
22.92999,16.05,42.72,8.4,15.84,1.374,27.4
22.70001,15.14,42,8.2,15.82,1.344,26.8
22.83,15.2,42.47002,8.1,15.4,1.362,27.2
23.19,15.63,44.06006,8.61,15.82,1.38,27.6
22.64001,15.5,42.21,8.4,16.25,1.314,26.2
22.47999,15.4,41.76001,8.4,16.26,1.2,24
21.99999,15.03,41.05001,8.44,16.15,1.182,23.6
22.01001,15,41.23998,8.4,16.26,1.23,24.6
22.62999,15,41.41001,8.51,16.29,1.242,24.8
22.53,15,40.96002,8.4,16.1,1.2,24
22.86,15,39.60001,8.39,16.07,1.26,25.2
23.00001,15.1,40.29998,8.47,16.2,1.404,28
23.24001,15.2,40.49999,8.81,16.26,1.47,29.4
24.96,15.41,42.01998,8.97,16.56,1.5,30
24.99,15.06,40.70999,8.99,16.27,1.434,28.6
24.65001,15.5,42.29999,8.92,16.4,1.41,28.2
24.44001,15.49,42,9.3,16.48,1.44,28.8
24.50001,15.66,41.29998,9,16.7,1.464,29.2
24.06,15.85,41.33001,9,16.91,1.422,28.4
23.73999,16.2,41.99,8.89,16.93,1.434,28.6
23.1,15.97,41.42999,8.79,16.41,1.38,27.6
23.43,16,41.59998,8.72,16.67,1.332,26.6
23.31,16,40.87998,8.6,16.59,1.362,27.2
23.01,15.7,39.56999,8.53,16.6,1.35,27
23.7,15.5,40.50998,8.7,16.92,1.482,29.6
24.41001,15.27,41.23998,8.6,16.77,1.584,31.6
24.56001,15.3,43.31981,8.75,17.01,1.632,32.6
24.99999,15.26,44.34993,8.51,16.91,1.644,32.8
24.99,15.68,44.44987,8.55,16.98,1.632,32.6
24.98001,15.6,45.30995,8.74,17.1,1.632,32.6
23.72001,15.45,45.50983,8.75,17.47,1.59,31.8
23.46,15.13,45.16978,8.62,17.3,1.5,30
23.46999,15.05,43.83984,8.7,16.96,1.524,30.4
23.49,15,43.22,8.61,16.31,1.524,30.4
23.64999,15,42.56001,8.62,15.77,1.434,28.6
23.43,14.99,43.74985,8.71,15.87,1.47,29.4
23.25,15,42.88998,8.75,15.72,1.41,28.2
23.22,15.01,42.07999,8.54,15.15,1.332,26.6
23.01,14.69,42.16998,8.39,14.82,1.254,25
23.01,14.69,42.16998,8.46,14.82,1.254,25
23.69001,14.43,44.86001,8.53,15.41,1.242,24.8
23.34999,14.02,45.44018,8.45,15.1,1.254,25
23.36001,14.6,45.76985,8.21,15.7,1.224,24.4
23.55999,14.9,45.59982,8.32,15.88,1.242,24.8
24.15999,15.4,46.42011,8.48,16.52,1.392,27.8
24.60999,15.2,46.45991,8.5,16.49,1.38,27.6
24.72,15.24,47.31005,8.49,16.4,1.434,28.6
24.87,15.2,48.4799,8.31,16.37,1.452,29
24.87999,15,48.00011,8.47,16.69,1.482,29.6
24.99999,15.1,48.19999,8.48,17.05,1.452,29
25.10001,15,47.87984,8.5,16.95,1.404,28
25.2,15,46.5101,8.74,17,1.404,28
24.99999,14.99,45.76985,8.51,16.74,1.422,28.4
24.48999,14.59,45.95978,8.5,16.65,1.434,28.6
